Ime,Opis recepta,Uporabnik,Datum,ID recepta,Priložnost,Priprava,Sezona,Vrsta jedi,Čas priprave,Sestavine,Postopek
Virgol'c,mleto meso na rižu z jogurtovim prelivom,gligor,24.7.2017,21394,,"dušenje, kuhanje","jesen, poletje, pomlad, zima",,45 minut,"1. Pristavimo riž (razmerje 1: 3), dodamo kurkumo in skuhamo. Kuhanega odcedimo (odcedek prihranimo za zalivanje mesa). Če želimo toplo, tempiramo čas.2. V manjši ponvi na malo maščobe popečemo, da porjavi, pribl. 1/4 mesa. Ohranimo toplega.3. V ogreto širšo ponev vlijemo arašidovo olje, dodamo malo kokosovega in dodamo sesekljano šalotko. Posteklenimo in dodamo na rezance, lunice, večje kvadratke... narezan por in zdušimo. Ko tekočina skoraj povre, dodamo ostanek mletega mesa. Podušimo, da ""posivi"".  Dodamo popečeno mleto meso, omako iz črnega fižola,  worchester in hoisin omako, po želji še ostale ""okusnice"". Premešamo in še malo podušimo.4. Medtem, oziroma lahko seveda že prej, pripravimo jogurtovo ""omako"". V primerni skledici zmešamo vse sestavine in omaka je pripravljena.5. Vzamemo večji plitek krožnik in z obodcem za krofe oblikujemo plast riža in plast mesa (kar skupaj - slika). Obodec odstranimo in polijemo oz. dodamo jogurtovo omako.","skodelica riža, 1-2 žlički kurkume 15-20 dag mešanega mletega mesa srednje velik por (zeleni del) 1 banana šalotka žlička (po okusu) omake iz črnega fižola po okusu worchester omaka žlička hoisin omake in pa še, če želite, malo nastrganega ingverja, teryaki omake in polnozrnate gorčice sol, poper maščoba (kokosovo olje, arašidovo olje, olivno....) lonček jogurta (kisle smetane...) žlica medu ali javorjevega sirupa ali agavinega...., 1-2 jušni žlici sesekljane poprove mete, melise in pomarančne mete "

Domača marmelada brez kuhanja in brez sladkorja,"LCHF, KETO in PALEO marmelada brez kuhanja!",Pajsbrezobresti,26.7.2017,21395,,vlaganje,"zima, pomlad, poletje, jesen","namazi, sladice",5 minut,"1. Če imamo zmrznjeno sadje, ga odtalimo in nato prelijemo v mešalnik, dodamo eritritol, sok limone in premešamo. Dodamo konjak moko in nato v mešalniku vse skupaj mešamo kakšni 2 minuti, mogoče več, dokler ne opazimo, da se začne masa gostiti. Prelijemo jo v steklen kozarec in hranimo v hladilniku.2. Tako pripravljeno marmelado lahko tudi še za par sekund pogrejemo in maso pri tem neprestano mešamo. Nato vlijemo v steklen kozarec in hranimo v hladilniku. Ni pa je nujno pogreti, je tudi tako odlična.",250 g zmrznjenih borovnic ali jagod ali kateregakoli sadja po izbiri 3 žlice eritritola ½ žlice konjak moke 3 žlice soka stisnjene limone 

Vanilijevo - kokosov puding ali čokoladni puding brez kuhanja,"puding je brez laktoze, brez glutena in brez dodanega sladkorja!",Pajsbrezobresti,27.7.2017,21396,valentinovo,,"zima, pomlad, poletje, jesen",sladice,5 minut,"Vse sestavine damo v blender in mešamo približno 3-5 minut, že po minuti in pol do 2 minutbomo opazili gostejšo konsistenco. Prelijemo v kozarčke in okrasimo s sadjem, riževim sirupom ali oreščki, možnosti je veliko.","Za vanilijevo – kokosov puding: 300 ml hladnega kokosovega ali mandljevega mleka in 200 ml vode 20 do 25 g eritritola – po okusu ščep soli in burbonska vanilija v prahu 3 g konjak moke Za čokoladni puding: enake sestavine kot za vanilijevega, le da po 5 minutah mešanja v blenderju dodamo 20 g 100% kakava brez sladkorja in vse še enkrat dobro premešamo v blenderju. Ker bo kakav naredil malo grenak priokus, lahko dodamo za boljši čoko okus 1 čajno žličko  kave s kofeinom ali brez – najbolje instant kavo in po okusu dodamo eritritol – po želji. "

Breskve v listnatem testu,"lahka poletna slaščica, odlična za porabo breskev",matejazz,31.7.2017,21397,,pečenje,poletje,sladice,75 minut,"1. Breskve operemo in narežemo na tanke rezine (krhlje). Maslo na sobni temperaturi umešamo s sladkorjem. Dodamo jajce in premešamo, dodamo mlete mandlje in ponovno premešamo.2. Testo na pomokani površini razvaljamo na par milimetrov, ga razrežemo na poljubno velike kocke (npr. 5x2 cm, 3x3 cm). Vsako kocko premažemo s kremo (ne čisto do roba) in nanjo nadevamo na tanko narezane breskve.3. Pečemo v pečici na 200 stopinjah približno 15 minut, oziroma dokler ni testo zlato rjavo.",12 breskev zavitek listnatega testa (250 g) Za kremo: 100 g sladkorja 100 g mletih mandljev eno jajce 100 g masla 

Čokoladno - arašidova torta,"za ljubitelje arašidovega masla in rjavčkov (""brownie""-jev)",Katja D,1.8.2017,21398,,pečenje,"zima, pomlad, poletje, jesen",sladice,60 minut,"1. V vodni kopeli razpustimo čokolado, maslo in rjavi sladkor. Dobljeno zmes pustimo, da se ohladi. Medtem tortni model s snemljivim obodom obložimo s peki papirjem. Zadošča, da prekrijemo le dno modela. Pečico segrejemo na 180 stopinj.2. V eni posodi stepemo jajca, vanilijev izvleček in sol. V drugo posodo presejemo moko, kakav in pecilni prašek. Suhe sestavine rahlo zmešamo.3. V ohlajeno zmes čokolade, masla in sladkorja na roke (s kuhalnico) vmešamo jajčno zmes, nato še moko s kakavom in pecilnim praškom. Zmes vlijemo v tortni model, tega postavimo v vročo pečico in pečemo približno 12 minut.4. Pečeni oblat pustimo v tortnem modelu, dokler se povsem ne ohladi. Medtem ko se hladi, pripravimo arašidov nadev: mascarpone dobro zmešamo z ročnim mešalnikom, da postane čim bolj kremast. Vanj vmešamo arašidovo maslo. Količino arašidovega masla prilagodimo svojemu okusu (jaz sem ga dodala 5 zvrhanih žlic). Po okusu dodamo še kakšno žlico sladkorja v prahu (jaz sem ga dodala 2 žlici).5. Ohlajen oblat zvrnemo na servirni krožnik (zgornji del naj bo na dnu). Obdamo ga z obodom tortnega modela. Na oblat namažemo arašidov nadev in ga lepo pogladimo. Torto za nekaj ur postavimo v hladilnik. Ko se arašidov nadev povsem ohladi in strdi, obod previdno odstranimo (da bo šlo lažje, najprej z nožem ločimo torto in obod). Rob torte (arašidov nadev) po potrebi malo zgladimo. Na vrh nadeva nabrizgamo stepeno sladko smetano, ki smo jo osladili po svojem okusu.6. Torta je zdaj že pripravljena za serviranje, še boljša pa bo, če jo še za kakšno uro vrnemo nazaj v hladilnik.","Čokoladni oblat: 100 g jedilne čokolade 110 g masla 120 g rjavega sladkorja 2 jajci 60 g mehke moke 1 žlička pecilnega praška 15 g (temnega) kakava malo vaniljevega izvlečka (ali 1 vrečka vaniljevega sladkorja) ščepec soli Arašidov nadev: 500 g mascarpone sira 3 do 5 zvrhanih žlic arašidovoga masla sladkor v prahu Vrhnji nadev/okras: 0,5 l smetane za stepanje sladkor v prahu "

Hitre brezglutenske štručke s skuto,"recept je brezglutenska variacija na recept, ki je bil pred časom objavljen v Odprti kuhinji",Eva Ana,4.8.2017,21399,piknik,pečenje,,,30 minut,"1. Vse sestavine damo v posodo in z gnetilnimi kavlji premešamo v enotno zmes (lahko tudi ročno, ampak je precej lepljivo).2. Zmes stresemo na pomokano površino, z rokami oblikujemo valj (dolg približno pol metra, pomagamo si tako, da ga pomokamo še po vrhu, da se ne prijemlje), ga razrežemo na enako velike štručke, ki jih damo na pekač (na peki papir).3. Premažemo s stopljenim maslom in pečemo na 190 stopinjah 25 minut, zadnjih 5 minut z ventilatorjem, da se lepo zapečejo.",250 g polnomastne nepasirane skute 150 g brezglutenske Schar mešanice za temni kruh 100 g kvinojine moke sol 1 pecilni prašek 1 dl mleka sončnična (ali druga semena) - količina in vrsta po želji maslo za premaz 

